pengajuan_id,warga_id,label_sebenarnya,prediksi,jenis,probabilitas,pendapatan,jumlah_tanggungan,usia,aset_produktif,riwayat_bantuan,housing_need,skor_urgensi
1824,1804,tidak_layak,layak,FP,0.9849,839543.0,7.0,25.0,0.0,1.0,0.775,0.9997
1014,994,layak,tidak_layak,FN,0.0231,2445398.0,2.0,65.0,1.0,1.0,0.325,0.0002
1558,1538,layak,tidak_layak,FN,0.0421,2165704.0,1.0,64.0,0.0,0.0,0.3594,0.0002
1906,1886,tidak_layak,layak,FP,0.9525,1599703.0,6.0,75.0,0.0,0.0,0.675,0.9998
1089,1069,layak,tidak_layak,FN,0.0526,1935826.0,3.0,53.0,0.0,1.0,0.4755,0.0002
1795,1775,layak,tidak_layak,FN,0.0697,2424921.0,2.0,50.0,0.0,1.0,0.4056,0.0002
1084,1064,layak,tidak_layak,FN,0.0976,2040163.0,3.0,74.0,0.0,1.0,0.5156,0.0002
740,720,layak,tidak_layak,FN,0.1347,1823878.0,4.0,62.0,0.0,1.0,0.525,0.0002
758,738,layak,tidak_layak,FN,0.1379,2229124.0,4.0,33.0,0.0,1.0,0.575,0.0002
1581,1561,tidak_layak,layak,FP,0.8529,1201006.0,5.0,37.0,0.0,0.0,0.667,0.0002
1437,1417,layak,tidak_layak,FN,0.1485,1812567.0,3.0,70.0,0.0,0.0,0.575,0.0002
1445,1425,tidak_layak,layak,FP,0.8446,1727980.0,3.0,67.0,0.0,1.0,0.675,0.9998
883,863,layak,tidak_layak,FN,0.1816,1762475.0,2.0,44.0,0.0,0.0,0.325,0.0002
1609,1589,tidak_layak,layak,FP,0.8151,1822198.0,4.0,44.0,0.0,1.0,0.6175,0.9997
868,848,tidak_layak,layak,FP,0.8132,1238565.0,4.0,44.0,0.0,0.0,0.675,0.0002
1648,1628,tidak_layak,layak,FP,0.7948,2134433.0,3.0,53.0,0.0,1.0,0.6036,0.9998
1561,1541,tidak_layak,layak,FP,0.7909,1662855.0,4.0,55.0,0.0,0.0,0.5525,0.9998
573,553,layak,tidak_layak,FN,0.2093,2096584.0,4.0,25.0,0.0,0.0,0.5404,0.0002
198,178,layak,tidak_layak,FN,0.2219,2041500.0,2.0,40.0,1.0,1.0,0.5569,0.0002
636,616,tidak_layak,layak,FP,0.7529,1749352.0,2.0,38.0,0.0,0.0,0.384,0.9998
1781,1761,tidak_layak,layak,FP,0.7457,1145377.0,3.0,29.0,0.0,1.0,0.575,0.0002
601,581,layak,tidak_layak,FN,0.2682,1947409.0,2.0,70.0,0.0,0.0,0.5403,0.0002
600,580,tidak_layak,layak,FP,0.7171,1668832.0,2.0,69.0,0.0,0.0,0.675,0.0002
1323,1303,layak,tidak_layak,FN,0.2912,1689501.0,3.0,71.0,0.0,0.0,0.4078,0.0002
1408,1388,tidak_layak,layak,FP,0.6917,1090126.0,2.0,51.0,1.0,1.0,0.5306,0.0002
1817,1797,tidak_layak,layak,FP,0.6908,1325006.0,3.0,61.0,0.0,1.0,0.5635,0.9997
966,946,layak,tidak_layak,FN,0.3323,2115143.0,3.0,46.0,0.0,0.0,0.675,0.0002
1472,1452,tidak_layak,layak,FP,0.6341,1683102.0,2.0,29.0,0.0,0.0,0.4819,0.9998
1713,1693,layak,tidak_layak,FN,0.3849,1905006.0,2.0,71.0,0.0,1.0,0.6,0.0002
614,594,tidak_layak,layak,FP,0.6009,1165005.0,4.0,42.0,0.0,0.0,0.65,0.0002
430,410,layak,tidak_layak,FN,0.3998,1379428.0,3.0,40.0,0.0,1.0,0.5375,0.0002
1851,1831,layak,tidak_layak,FN,0.4052,1199863.0,2.0,68.0,1.0,0.0,0.425,0.0002
488,468,tidak_layak,layak,FP,0.5835,1573116.0,4.0,30.0,1.0,1.0,0.5996,0.0002
58,38,layak,tidak_layak,FN,0.4226,1284728.0,3.0,70.0,0.0,1.0,0.6172,0.0002
1168,1148,layak,tidak_layak,FN,0.4393,1539970.0,3.0,75.0,0.0,0.0,0.6266,0.0002
922,902,layak,tidak_layak,FN,0.4539,1623045.0,3.0,33.0,0.0,1.0,0.5536,0.0002
662,642,tidak_layak,layak,FP,0.5362,1749141.0,5.0,39.0,0.0,1.0,0.65,0.0002
23,3,layak,tidak_layak,FN,0.4804,1983156.0,3.0,70.0,0.0,0.0,0.4974,0.9998
3,3,layak,tidak_layak,FN,0.4804,1983156.0,3.0,70.0,0.0,0.0,0.4974,0.9998
1376,1356,layak,tidak_layak,FN,0.4908,1090000.0,4.0,34.0,0.0,0.0,0.5592,0.0002
